EN_Name,FR_Name,ZH_Name,EN_URL,FR_URL,ZH_URL,Category
Car,Automobile,汽车,https://en.wikipedia.org/wiki/Car,https://fr.wikipedia.org/wiki/Automobile,https://zh.wikipedia.org/wiki/%E6%B1%BD%E8%BD%A6, Technology
Canal,Canal (voie d'eau),运河,https://en.wikipedia.org/wiki/Canal,https://fr.wikipedia.org/wiki/Canal_(voie_d%27eau),https://zh.wikipedia.org/wiki/%E8%BF%90%E6%B2%B3, Technology
Jet engine,Moteur à réaction,喷气发动机,https://en.wikipedia.org/wiki/Jet_engine,https://fr.wikipedia.org/wiki/Moteur_%C3%A0_r%C3%A9action,https://zh.wikipedia.org/wiki/%E5%96%B7%E6%B0%94%E5%8F%91%E5%8A%A8%E6%9C%BA, Technology
Mathematical proof,Démonstration (logique et mathématique),數學證明,https://en.wikipedia.org/wiki/Mathematical_proof,https://fr.wikipedia.org/wiki/D%C3%A9monstration_(logique_et_math%C3%A9matique),https://zh.wikipedia.org/wiki/%E6%95%B8%E5%AD%B8%E8%AD%89%E6%98%8E,Mathematics
Pi,Pi,圓周率,https://en.wikipedia.org/wiki/Pi,https://fr.wikipedia.org/wiki/Pi,https://zh.wikipedia.org/wiki/%E5%9C%93%E5%91%A8%E7%8E%87,Mathematics
0,Zéro,0,https://en.wikipedia.org/wiki/0,https://fr.wikipedia.org/wiki/Z%C3%A9ro,https://zh.wikipedia.org/wiki/0,Mathematics
Area,Aire (géométrie),面积,https://en.wikipedia.org/wiki/Area,https://fr.wikipedia.org/wiki/Aire_(g%C3%A9om%C3%A9trie),https://zh.wikipedia.org/wiki/%E9%9D%A2%E7%A7%AF,Mathematics
e (mathematical constant),e (nombre),E (数学常数),https://en.wikipedia.org/wiki/E_(mathematical_constant),https://fr.wikipedia.org/wiki/E_(nombre),https://zh.wikipedia.org/wiki/E_(%E6%95%B0%E5%AD%A6%E5%B8%B8%E6%95%B0),Mathematics
Mathematical analysis,Analyse (mathématiques),数学分析,https://en.wikipedia.org/wiki/Mathematical_analysis,https://fr.wikipedia.org/wiki/Analyse_(math%C3%A9matiques),https://zh.wikipedia.org/wiki/%E6%95%B0%E5%AD%A6%E5%88%86%E6%9E%90,Mathematics
Set (mathematics),Ensemble,集合 (数学),https://en.wikipedia.org/wiki/Set_(mathematics),https://fr.wikipedia.org/wiki/Ensemble,https://zh.wikipedia.org/wiki/%E9%9B%86%E5%90%88_(%E6%95%B0%E5%AD%A6),Mathematics
Prime number,Nombre premier,质数,https://en.wikipedia.org/wiki/Prime_number,https://fr.wikipedia.org/wiki/Nombre_premier,https://zh.wikipedia.org/wiki/%E8%B4%A8%E6%95%B0,Mathematics
Combinatorics,Combinatoire,组合数学,https://en.wikipedia.org/wiki/Combinatorics,https://fr.wikipedia.org/wiki/Combinatoire,https://zh.wikipedia.org/wiki/%E7%BB%84%E5%90%88%E6%95%B0%E5%AD%A6,Mathematics
Exponentiation,Exponentiation,冪,https://en.wikipedia.org/wiki/Exponentiation,https://fr.wikipedia.org/wiki/Exponentiation,https://zh.wikipedia.org/wiki/%E5%86%AA,Mathematics
Three-dimensional space,Trois dimensions,三維空間,https://en.wikipedia.org/wiki/Three-dimensional_space,https://fr.wikipedia.org/wiki/Trois_dimensions,https://zh.wikipedia.org/wiki/%E4%B8%89%E7%B6%AD%E7%A9%BA%E9%96%93,Mathematics
Abstract algebra,Algèbre générale,抽象代数,https://en.wikipedia.org/wiki/Abstract_algebra,https://fr.wikipedia.org/wiki/Alg%C3%A8bre_g%C3%A9n%C3%A9rale,https://zh.wikipedia.org/wiki/%E6%8A%BD%E8%B1%A1%E4%BB%A3%E6%95%B0,Mathematics
Variable (mathematics),Variable (mathématiques),變數,https://en.wikipedia.org/wiki/Variable_(mathematics),https://fr.wikipedia.org/wiki/Variable_(math%C3%A9matiques),https://zh.wikipedia.org/wiki/%E8%AE%8A%E6%95%B8,Mathematics
Topology,Topologie,拓扑学,https://en.wikipedia.org/wiki/Topology,https://fr.wikipedia.org/wiki/Topologie,https://zh.wikipedia.org/wiki/%E6%8B%93%E6%89%91%E5%AD%A6,Mathematics
Polygon,Polygone,多边形,https://en.wikipedia.org/wiki/Polygon,https://fr.wikipedia.org/wiki/Polygone,https://zh.wikipedia.org/wiki/%E5%A4%9A%E8%BE%B9%E5%BD%A2,Mathematics
Algebra,Algèbre,代数,https://en.wikipedia.org/wiki/Algebra,https://fr.wikipedia.org/wiki/Alg%C3%A8bre,https://zh.wikipedia.org/wiki/%E4%BB%A3%E6%95%B0,Mathematics
Triangle,Triangle,三角形,https://en.wikipedia.org/wiki/Triangle,https://fr.wikipedia.org/wiki/Triangle,https://zh.wikipedia.org/wiki/%E4%B8%89%E8%A7%92%E5%BD%A2,Mathematics
Number,Nombre,数,https://en.wikipedia.org/wiki/Number,https://fr.wikipedia.org/wiki/Nombre,https://zh.wikipedia.org/wiki/%E6%95%B0,Mathematics
Series (mathematics),Série (mathématiques),级数,https://en.wikipedia.org/wiki/Series_(mathematics),https://fr.wikipedia.org/wiki/S%C3%A9rie_(math%C3%A9matiques),https://zh.wikipedia.org/wiki/%E7%BA%A7%E6%95%B0,Mathematics
Infinity,Infini,无穷,https://en.wikipedia.org/wiki/Infinity,https://fr.wikipedia.org/wiki/Infini,https://zh.wikipedia.org/wiki/%E6%97%A0%E7%A9%B7,Mathematics
Integer,Entier relatif,整数,https://en.wikipedia.org/wiki/Integer,https://fr.wikipedia.org/wiki/Entier_relatif,https://zh.wikipedia.org/wiki/%E6%95%B4%E6%95%B0,Mathematics
Circle,Cercle,圆,https://en.wikipedia.org/wiki/Circle,https://fr.wikipedia.org/wiki/Cercle,https://zh.wikipedia.org/wiki/%E5%9C%86,Mathematics
Calculus,Calcul infinitésimal,微积分学,https://en.wikipedia.org/wiki/Calculus,https://fr.wikipedia.org/wiki/Calcul_infinit%C3%A9simal,https://zh.wikipedia.org/wiki/%E5%BE%AE%E7%A7%AF%E5%88%86%E5%AD%A6,Mathematics
